threshold_deg,cue_delay_s,cooldown_s,cue_strength,base_pattern,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,norm_mean_error_deg,norm_bad_posture_percent,norm_number_of_cues,norm_total_comfort_penalty,overall_score_lower_is_better
6,1.0,8,1.0,pulse,7.181544728424033,84.94444444444444,19,2.4918027123089157,0.06921674200858098,2.4000001999748566,0.7332840223602216,0.554285714285714,0.05128205128205128,0.028814747185754833,0.44364073158398276
8,1.0,8,1.3,pulse,7.374388093543223,83.77777777777777,19,3.239341745147058,0.08998171514297383,3.1200002599673136,0.7764181609404435,0.4942857142857138,0.05128205128205128,0.11093652122964542,0.44384862103781625
6,1.0,6,1.3,wave,6.762554129545136,83.66666666666667,25,4.260962781891642,0.11836007727476783,3.120014807428371,0.6395665198436985,0.4885714285714286,0.20512820512820512,0.2231678941112666,0.44489517215314134
6,0.5,4,1.0,wave,6.049980702024363,83.27777777777777,38,4.981834663743944,0.13838429621510953,2.4007943552303055,0.48018203206384846,0.46857142857142803,0.5384615384615384,0.30236011711975647,0.44522082814320985
8,0.5,4,1.0,wave,6.7316234370094215,81.88888888888889,37,4.852192379785157,0.1347831216606988,2.4007943552303055,0.6326481134085424,0.39714285714285674,0.5128205128205128,0.28811811251248315,0.44578198785096906
5,1.0,6,1.6,wave,5.749503561910198,85.22222222222223,25,5.245902138985164,0.14571950386069898,3.8400182245272254,0.4129729652968251,0.5685714285714287,0.20512820512820512,0.3313695582077585,0.4458871163357214
6,0.5,3,1.0,wave,5.362491299498236,82.22222222222221,50,6.519377459900612,0.18109381833057256,2.4060080884245187,0.3264082004224666,0.41428571428571365,0.8461538461538461,0.47126867779972936,0.4468997417095183
7,1.0,6,1.6,wave,6.14128679310561,84.33333333333334,25,5.245874457273513,0.14571873492426424,3.8400182245272254,0.500604874112278,0.5228571428571431,0.20512820512820512,0.3313665172009756,0.4472230567667995
8,2.0,4,1.3,pulse,5.979258753493746,82.38888888888889,37,6.306702821916421,0.17518618949767836,3.121032661799397,0.4643633373076275,0.4228571428571425,0.5128205128205128,0.4479050569074601,0.44723961127616424
6,1.0,8,1.3,pulse,6.872932200956838,85.16666666666667,19,3.239320865874703,0.08998113516318618,3.1200002599673136,0.6642552770926053,0.5657142857142857,0.05128205128205128,0.11093422751278086,0.4479502984753412
7,1.0,4,1.6,wave,5.055775045416945,83.0,38,7.951223255327532,0.22086731264798695,3.841270968368489,0.25780360311017647,0.45428571428571407,0.5384615384615384,0.6285657709445687,0.4484387802411831
8,1.0,4,1.0,pulse,6.58036345111008,82.38888888888889,37,4.852399495239425,0.1347888748677618,2.4007943552303055,0.5988151153720686,0.4228571428571425,0.5128205128205128,0.28814086542275164,0.44889971749533286
8,0.5,6,1.3,pulse,6.90372229407704,83.5,25,4.262152040363059,0.11839311223230718,3.120014807428371,0.6711422350272165,0.4799999999999998,0.20512820512820512,0.22329854149043915,0.4489580875677124
7,0.5,6,1.3,pulse,7.0201289727511575,83.22222222222221,25,4.262200045041078,0.1183944456955855,3.120014807428371,0.6971794378445878,0.4657142857142851,0.20512820512820512,0.22330381510044237,0.44903987156548425
7,2.0,4,1.0,wave,5.92295097387421,83.77777777777777,38,4.957674076847127,0.13771316880130907,2.4007943552303055,0.45176872422486725,0.4942857142857138,0.5384615384615384,0.2997059276115842,0.4491580918532587
8,0.5,6,1.3,wave,6.775132548082587,83.83333333333334,25,4.262232087635605,0.11839533576765568,3.120014807428371,0.6423799910148694,0.49714285714285744,0.20512820512820512,0.22330733517710974,0.44948357101624564
8,0.5,8,1.3,pulse,7.519236041049015,83.72222222222221,19,3.2393251506210534,0.08998125418391816,3.1200002599673136,0.8088169496512395,0.4914285714285708,0.05128205128205128,0.11093469821859846,0.4506622393275916
7,2.0,3,1.0,pulse,5.241312655588154,82.77777777777777,50,6.451061830763779,0.17919616196566052,2.4060080884245187,0.2993036307830069,0.44285714285714234,0.8461538461538461,0.4637637845256734,0.45147976350198504
7,0.5,6,1.6,pulse,6.454480829519548,83.83333333333334,25,5.245824107859205,0.14571733632942235,3.8400182245272254,0.5706583859913525,0.49714285714285744,0.20512820512820512,0.3313609860072273,0.45316389992638995
6,0.5,8,1.3,wave,6.956317298812759,85.22222222222223,19,3.2393441799112557,0.08998178277531266,3.1200002599673136,0.6829063951345438,0.5685714285714287,0.05128205128205128,0.1109367887035117,0.45389930450968635
7,2.0,6,1.3,pulse,6.9264751365606365,83.72222222222221,25,4.258632670613347,0.11829535196148185,3.120014807428371,0.6762314651398253,0.4914285714285708,0.20512820512820512,0.22291191701376736,0.45529592734338714
